id,paras
HR146_Duni_f_100923,12
HR147_Dnair_m_100923,41
HR148_Dnair_m_100923,39
HR149_Dnair_m_100923,178
HR14_sp_sex_ddmmyy,75
HR150_Dnair_m_100923,14
HR151_Dnair_m_100923,0
HR152_Dnair_m_100923,2
HR154_Dnair_f_dd0923,4
HR155_Dnair_m_100923,2
HR156_Dnair_m_100923,2
HR157_Dnair_m_100923,7
HR158_Dnair_m_100923,2
HR159_Dnair_m_100923,67
HR15_sp_sex_ddmmyy,105
HR160_Dnair_m_100923,1
HR161_Dnair_f_100923,10
HR162_Dnair_f_100923,2
HR163_Dnair_m_100923,3
HR164_Dnair_f_100923,9
HR165_Dnair_f_100923,31
HR166_Dnair_f_100923,433
HR167_Dnair_f_100923,31
HR168_Dnair_f_100923,383
HR169_Dnair_f_100923,9
HR16_sp_sex_ddmmyy,7
HR170_Dnair_f_100923,60
HR171_Duni_f_110923,11
HR172_Duni_f_110923,2
HR173_Duni_f_110923,17
HR174_Duni_f_110923,4
HR175_Duni_f_110923,12
HR176_Dnair_f_110923,5
HR177_Dnair_m_110923,86
HR178_Dnair_m_110923,12
HR179_Dnair_f_110923,569
HR17_sp_sex_ddmmyy,67
HR180_Dnair_f_110923,31
HR181_Dnair_f_110923,9
HR182_Dnair_f_110923,22
HR183_Dnair_f_110923,0
HR184_Dnair_f_110923,29
HR185_Dnair_f_110923,5
HR18_sp_sex_ddmmyy,62
HR19_sp_sex_ddmmyy,3
HR20_sp_sex_ddmmyy,80
HR21_sp_sex_ddmmyy,33
HR22_sp_sex_ddmmyy,5
HR23_sp_sex_ddmmyy,41
HR25_sp_sex_ddmmyy,56
HR26_sp_sex_ddmmyy,7
HR27_sp_sex_ddmmyy,2
HR28_sp_sex_ddmmyy,118
HR29_sp_sex_ddmmyy,9
HR2_sp_sex_ddmmyy,16
HR30_sp_sex_ddmmyy,76
HR3_sp_sex_ddmmyy,0
HR49_Darm_f_ddmmyy,18
HR4_sp_sex_ddmmyy,11
HR50_Darm_f_ddmmyy,35
HR52_Darm_f_ddmmyy,29
HR53_Darm_f_ddmmyy,3
HR54_Darm_f_ddmmyy,11
HR55_Darm_f_ddmmyy,28
HR56_Darm_f_ddmmyy,8
HR57_Darm_f_ddmmyy,12
HR59_Darm_f_ddmmyy,6
HR5_sp_sex_ddmmyy,58
HR61_Darm_f_ddmmyy,4
HR62_Darm_f_ddmmyy,4
HR63_Darm_f_ddmmyy,22
HR64_Darm_f_ddmmyy,7
HR65_Darm_f_ddmmyy,28
HR66_Darm_f_ddmmyy,35
HR67_Darm_f_ddmmyy,0
HR68_Darm_f_ddmmyy,66
HR69_Duni_f_ddmmyy,2
HR6_sp_sex_ddmmyy,3
HR70_Duni_f_ddmmyy,7
HR71_Duni_f_ddmmyy,30
HR72_Duni_f_ddmmyy,0
HR73_Duni_f_ddmmyy,28
HR74_Duni_f_ddmmyy,8
HR75_Duni_f_ddmmyy,13
HR76_Duni_f_ddmmyy,75
HR77_Duni_f_ddmmyy,0
HR78_Duni_f_ddmmyy,21
HR79_Duni_f_ddmmyy,22
HR7_sp_sex_ddmmyy,8
HR80_Duni_f_ddmmyy,29
HR81_Duni_f_ddmmyy,168
HR82_Duni_f_ddmmyy,46
HR83_Duni_f_ddmmyy,137
HR84_Duni_f_ddmmyy,34
HR85_Duni_f_ddmmyy,26
HR86_Duni_f_ddmmyy,49
HR87_Duni_f_ddmmyy,7
HR88_Duni_f_ddmmyy,8
HR89_Duni_f_ddmmyy,73
HR90_Dnair_f_ddmmyy,103
HR92_Dnair_f_ddmmyy,16
HR93_Dnair_f_ddmmyy,6
HR94_Dnair_f_ddmmyy,5
HR95_Dnair_f_ddmmyy,40
HR96_Dnair_f_ddmmyy,96
HR97_Dnair_f_ddmmyy,53
HR98_Dnair_f_ddmmyy,2
HR9_sp_sex_ddmmyy,12
SH1.22_Dval_f_110722,3
SH10.22_Dval_f_110722,8
SH10_Dval_m_ddmmyy,1
SH11.22_Dval_f_110722,1
SH11_Dval_m_ddmmyy,8
SH12.22_Dval_f_110722,3
SH12_Dval_m_ddmmyy,13
SH13.22_Dval_m_110722,14
SH13_Dval_m_ddmmyy,12
SH14.22_Dval_f_110722,2
SH14_Dval_m_ddmmyy,6
SH15.22_Dval_f_110722,22
SH15_Dval_m_ddmmyy,6
SH16.22_Dval_f_110722,27
SH16_Dval_f_ddmmyy,6
SH17.22_Dval_f_110722,24
SH17_Dval_f_ddmmyy,2
SH18.22_Dval_f_110722,2
SH18_Dval_f_ddmmyy,6
SH19.22_Dval_m_110722,2
SH19_Dval_f_ddmmyy,11
SH1_Dval_m_ddmmyy,20
SH2.22_Dval_m_110722,12
SH20.22_Dval_m_110722,44
SH20_Dval_f_ddmmyy,8
SH21.22_Dval_f_110722,19
SH21_Dval_f_ddmmyy,4
SH22.22_Dval_m_110722,5
SH22_Dval_f_ddmmyy,0
SH23.22_Dval_f_110722,4
SH23_Dval_f_ddmmyy,3
SH24.22_Dval_f_110722,9
SH24_Dval_f_ddmmyy,0
SH25_Dval_f_ddmmyy,19
SH26_Dval_f_ddmmyy,5
SH27.22_Dval_m_120722,11
SH27_Dval_f_ddmmyy,4
SH28.22_Dval_m_120722,14
SH28_Dval_f_ddmmyy,3
SH29.22_Dval_f_120722,5
SH29_Dval_f_ddmmyy,33
SH2_Dval_m_ddmmyy,6
SH3.22_Dval_f_110722,17
SH30.22_Dval_f_120722,6
SH30_Dval_f_ddmmyy,2
SH31.22_Dval_m_120722,9
SH31_Dval_f_ddmmyy,2
SH32.22_Dval_f_120722,8
SH32_Dval_f_ddmmyy,0
SH33.22_Dval_f_120722,6
SH34.22_Dval_m_120722,2
SH35.22_Dval_f_120722,2
SH36.22_Dval_m_120722,2
SH37.22_Dval_f_120722,8
SH38.22_Dval_m_120722,4
SH3_Dval_m_ddmmyy,3
SH4.22_Dval_f_110722,8
SH4_Dval_m_ddmmyy,15
SH5.22_Dval_m_110722,11
SH5_Dval_m_ddmmyy,8
SH6.22_Dval_f_110722,7
SH7.22_Dval_m_110722,9
SH7_Dval_m_ddmmyy,8
SH8.22_Dval_m_110722,10
SH8_Dval_m_ddmmyy,2
SH9.22_Dval_f_110722,1
SH9_Dval_m_ddmmyy,10
SHM.svl61.lc107m426_Dval_f_230523,9
SHM.svl61.lc111.m570_Dval_m_230523,13
SHM.svl61.lc117r.m488_Dval_m_230523,23
SHM.svl62.lc100r.m405_Dval_f_230523,6
SHM.svl62.lc123.m475_Dval_m_230523,1
SHM.svl62.lc66r.m420_Dval_m_230523,5
SHM.svl64.lc120.m620_Dval_m_230523,5
SHM.svl65.lc22r.m410_Dval_f_230523,9
SHM.svl65.lc69r.m475_Dval_f_230523,10
SHM.svl66.lc97r.m579_Dval_m_230523,6
SHM.svl67.lc100r.m633_Dval_m_230523,1
SHM.svl67.lc102r.m540_Dval_m_230523,19
SHM.svl67.lc70r.m487_Dval_m_230523,2
SHM.svl70l.c59r.m560_Dval_f_230523,3
SHM.svl71.lc100r.m575_Dval_f_230523,3
SHM.svl72.lc73r.m624_Dval_f_230523,6
SHM.svl73.lc12r.m611_Dval_f_230523,17
SHM.svl74.lc121r.m685_Dval_f_230523,2
SHM.svl74.lc99r.m673_Dval_f_230523,1
SR01_Dval_f_080722,4
SR02_Darm_f_060722,9
SR03_Dval_f_080722,1
SR11_Darm_f_180923,3
SR12_Darm_f_180923,1
SR13_Darm_f_180923,5
SR14_Darm_f_180923,2
SR15_Darm_f_180923,0
SR16_Darm_f_180923,2
SR17_Dval_f_180923,1
SR18_Darm_f_180923,1
SR19_Darm_f_180923,6
SR1_Dval_f_ddmmyy,2
SR20_Darm_f_180923,4
SR21_Dval_f_190923,3
SR22_Dval_f_190923,7
SR23_Darm_f_190923,10
SR24_Darm_f_190923,4
SR2_Dval_f_ddmmyy,1
SR3_Dval_f_ddmmyy,1
SR4_Dval_f_ddmmyy,4
SR5_Dval_f_ddmmyy,6
SR6_Dval_f_ddmmyy,1
SR7_Dval_m_180923,2
SR8_Dval_m_180923,5
SR9_Darm_f_180923,2
SRM66_Dval_f_240523,0
SRM67_Dval_m_240523,0
SRM68_Dval_m_240523,10
SRM69_Dval_f_240523,1
SRM70_Dval_m_240523,1
SRM71_Dval_f_240523,8
SRM72_Dval_f_250523,0
SRM73_Dval_f_250523,2
SRM74_Dval_f_250523,1
SRM75_Dval_f_250523,3
SRM76_Dval_f_250523,4
SRM77_Dval_f_250523,2
SRM78_Darm_f_250523,0
SRM79_Darm_f_250523,9
SRM80_Darm_f_250523,6
SRM81_Darm_f_250523,14
SRM83_Darm_f_250523,0
SRM84_Dval_m_250523,4
SRM85_Dval_m_250523,5
SRM86_Dval_m_250523,3
