id,svl,lc,m,marks,eggs,pore,colour,loc,horm,sp,sex,date,RBC,hcRBC,lysRBC,paras,prop,check_rbc,check_par,check_sum
HR162,57,48r,2.2,0,0,,,hrazdan restaurant,6.96,D.nairensis,f,10092023,631,83,7,2,0.00276625172890733,453,-1,1175
HR163,57,97r,3.2,,,,,hrazdan restaurant,9.60,D.nairensis,m,10092023,1719,808,15,3,0.00117878192534381,122,-3,2664
HR164,51,77r,2.4,0,0,,,hrazdan restaurant,0.66,D.nairensis,f,10092023,4259,809,10,9,0.00176921564772951,225,-1,5311
HR165,64,96r,4.6,0,0,,,hrazdan restaurant,2.9,D.nairensis,f,10092023,2058,110,3,31,0.014078110808356,121,4,2327
HR166,72,97r,4.2,0,0,,,hrazdan restaurant,9.37,D.nairensis,f,10092023,2911,356,20,433,0.116397849462366,30,10,3760
HR167,64,89r,3.4,0,0,,,hrazdan restaurant,1.93,D.nairensis,f,10092023,1492,132,5,31,0.0186746987951807,131,2,1793
HR168,63,80r,4.2,0,0,,,hrazdan restaurant,7.68,D.nairensis,f,10092023,1823,374,26,383,0.146968534151957,127,38,2771
HR169,68,72r,3.6,0,0,,,hrazdan restaurant,2.62,D.nairensis,f,10092023,1016,55,0,9,0.00833333333333333,611,14,1705
HR17,68,,5.9,,,,,hrazdan restaurant,,D.nairensis,m,12052023,3216,153,31,67,0.019325064897606,,9,3476
HR170,53,107,2.4,0,0,,,hrazdan restaurant,8.71,D.nairensis,f,10092023,2738,390,14,60,0.018738288569644,71,2,3275
HR171,67,126,4.6,0,0,,,hrazdan restaurant,6.62,D.unisexualis,f,11092023,1369,308,12,11,0.00647058823529412,53,-1,1752
HR172,56,98r,3,0,0,,,hrazdan restaurant,1.55,D.unisexualis,f,11092023,1369,400,8,2,0.00112422709387296,315,-2,2092
HR173,74,26r,5,0,0,,,hrazdan restaurant,4.85,D.unisexualis,f,11092023,1537,207,8,17,0.00960994912379876,37,,1806
HR174,51,114,3.8,0,0,,,hrazdan restaurant,2.29,D.unisexualis,f,11092023,2021,419,10,4,0.00162999185004075,313,-4,2763
HR175,56,82r,2,0,0,,,hrazdan restaurant,2.33,D.unisexualis,f,11092023,530,98,5,12,0.0186046511627907,176,1,822
HR176,68,93r,3.6,0,0,,,hrazdan restaurant,5.94,D.nairensis,f,11092023,715,139,2,5,0.00580720092915215,93,1,955
HR177,67,108r,5.4,,,0,"0,5",hrazdan restaurant,25.80,D.nairensis,m,11092023,3069,319,73,86,0.0242458415562447,-4,-2,3541
HR178,59,110,3,,,0,"0,5",hrazdan restaurant,5.30,D.nairensis,m,11092023,5019,116,16,12,0.00232423009877978,,-4,5159
HR179,66,74r,3.4,0,0,,,hrazdan restaurant,4.47,D.nairensis,f,11092023,1853,225,4,569,0.214635986420219,,38,2689
HR18,67,,5.42,,,,,hrazdan restaurant,,D.nairensis,m,12052023,2790,144,4,62,0.0206666666666667,,1,3001
HR180,58,83r,3.4,0,0,,,hrazdan restaurant,0.89,D.nairensis,f,11092023,1884,409,12,31,0.0132705479452055,185,4,2525
HR181,55,102r,2.4,0,0,,,hrazdan restaurant,3.53,D.nairensis,f,11092023,2907,695,9,9,0.00248618784530387,59,,3679
HR182,53,90r,2.4,0,0,,,hrazdan restaurant,0.89,D.nairensis,f,11092023,1134,360,4,22,0.0144736842105263,61,,1581
HR183,55,10r,1.8,0,0,,,hrazdan restaurant,2.33,D.nairensis,f,11092023,2157,320,8,0,0,181,1,2667
HR184,52,12r,2,0,0,,,hrazdan restaurant,5.49,D.nairensis,f,11092023,5510,641,58,29,0.00464892593780058,,-4,6234
HR185,58,114,3,0,0,,,hrazdan restaurant,3.77,D.nairensis,f,11092023,3440,315,9,5,0.00132661183337755,31,-4,3796
HR19,72,,5.99,,,,,hrazdan restaurant,,D.nairensis,m,12052023,1555,27,7,3,0.00188442211055276,,2,1594
HR2,66,,4.43,0,,,,hrazdan restaurant,,D.unisexualis,f,12052023,1759,48,15,16,0.00870511425462459,127,14,1979
HR20,68,,4.95,0,,,,hrazdan restaurant,,D.nairensis,f,12052023,3233,45,7,80,0.0237741456166419,,,3365
HR21,67,,4.67,0,,,,hrazdan restaurant,,D.nairensis,f,12052023,2482,147,12,33,0.012341062079282,,,2674
HR22,73,,5.72,1,,,,hrazdan restaurant,,D.nairensis,f,12052023,3009,42,23,5,0.0016239038648912,,-2,3077
HR23,66,,4.29,1,,,,hrazdan restaurant,,D.nairensis,f,12052023,2299,7,1,41,0.0174616695059625,,-3,2345
HR24,67,,3.97,2,,,,hrazdan restaurant,,D.nairensis,f,12052023,,,,,,,,0
HR25,61,,4.04,2,,,,hrazdan restaurant,,D.nairensis,f,12052023,3878,269,24,56,0.0132481665483795,,,4227
HR26,66,,4.05,0,,,,hrazdan restaurant,,D.nairensis,f,12052023,2058,28,20,7,0.00331282536677709,,,2113
HR27,58,,2.97,0,,,,hrazdan restaurant,,D.nairensis,f,12052023,3000,62,9,2,0.0006508298080052,,,3073
HR28,60,,3.66,,,,,hrazdan restaurant,,D.nairensis,m,12052023,3734,328,26,118,0.0280551592962435,,,4206
HR29,60,,3.24,,,,,hrazdan restaurant,,D.nairensis,m,12052023,2146,47,20,9,0.00405040504050405,,-3,2219
HR3,66,,4.51,0,,,,hrazdan restaurant,,D.unisexualis,f,12052023,2225,22,60,0,0,,,2307
HR30,58,,2.79,0,,,,hrazdan restaurant,,D.nairensis,f,12052023,3269,67,18,76,0.0221574344023324,,1,3431
HR31,74,139,6.6,,,1,br,hrazdan restaurant,112.90,D.nairensis,m,03062023,,,,,,,,0
HR32,64,115,5.41,,,1,pale,hrazdan restaurant,55.54,D.nairensis,m,03062023,,,,,,,,0
HR33,62,136,5.25,,,1,pale,hrazdan restaurant,,D.nairensis,m,03062023,,,,,,,,0
HR34,64,110,4.25,1,1,,,hrazdan restaurant,2.834,D.nairensis,f,03062023,,,,,,,,0
HR35,69,88r,6.1,,,1,br,hrazdan restaurant,47.04,D.nairensis,m,03062023,,,,,,,,0
HR36,68,95,4.93,,,,,hrazdan restaurant,5.4,D.nairensis,f,03062023,,,,,,,,0
HR37,66,115,5,,,,,hrazdan restaurant,16.59,D.nairensis,f,03062023,,,,,,,,0
HR38,71,131,7.15,,,1,br,hrazdan restaurant,183.10,D.nairensis,m,03062023,,,,,,,,0
HR39,72,98r,5.75,,,1,br,hrazdan restaurant,125.50,D.nairensis,m,03062023,,,,,,,,0
HR4,58,,3.66,5,,,,hrazdan restaurant,,D.unisexualis,f,12052023,1099,38,17,11,0.00944206008583691,,,1165
HR40,65,94r,5.1,,,1,br,hrazdan restaurant,70.71,D.nairensis,m,03062023,,,,,,,,0
HR41,70,24r,4.7,2,1,,,hrazdan restaurant,0.8864,D.nairensis,f,03062023,,,,,,,,0
HR42,64,56r,5.06,,,1,br,hrazdan restaurant,71.15,D.nairensis,m,03062023,,,,,,,,0
HR43,65,80r,5.37,1,,,,hrazdan restaurant,4.328,D.nairensis,f,03062023,,,,,,,,0
HR44,73,122,5.76,1,,,,hrazdan restaurant,23.7,D.nairensis,f,03062023,,,,,,,,0
HR45,66,31r,4.3,,,1,br,hrazdan restaurant,38.57,D.nairensis,m,03062023,,,,,,,,0
HR46,64,114,4.71,,,,,hrazdan restaurant,23.17,D.nairensis,f,03062023,,,,,,,,0
HR47,67,86r,4.92,,,1,pale,hrazdan restaurant,83.06,D.nairensis,m,03062023,,,,,,,,0
HR49,68,95r,5.1,,,,,hrazdan restaurant,108.1,D.armeniaca,f,04062023,5253,29,11,18,0.00338919224251553,,-2,5309
HR5,72,,5.18,1,,,,hrazdan restaurant,,D.unisexualis,f,12052023,2583,46,49,58,0.0211988304093567,,9,2745
HR50,71,88r,6,,1,,,hrazdan restaurant,91.63,D.armeniaca,f,04062023,2936,60,9,35,0.0115131578947368,,3,3043
HR51,61,81r,4.29,,1,,,hrazdan restaurant,,D.armeniaca,f,04062023,,,,,,,,0
HR52,65,86r,4.94,,1,,,hrazdan restaurant,97.2,D.armeniaca,f,04062023,3217,115,7,29,0.0086104513064133,,-2,3366
HR53,62,101r,4.5,,1,,,hrazdan restaurant,93.55,D.armeniaca,f,04062023,1983,49,7,3,0.00146914789422135,,-2,2040
HR54,61,110,4.31,,1,,,hrazdan restaurant,23.3,D.armeniaca,f,04062023,2921,46,8,11,0.00368385800401875,,-10,2976
HR55,71,83r,6.64,,1,,,hrazdan restaurant,75.38,D.armeniaca,f,04062023,3892,138,57,28,0.00680437424058323,,-1,4114
HR56,67,118,5.52,,1,,,hrazdan restaurant,141.6,D.armeniaca,f,04062023,3727,198,51,8,0.00200803212851406,,-2,3982
HR57,61,90r,3.6,,1,,,hrazdan restaurant,85.21,D.armeniaca,f,04062023,3469,47,10,12,0.00339174674957603,,-2,3536
HR58,66,86r,4.64,,1,,,hrazdan restaurant,300,D.armeniaca,f,04062023,,,,,,,,0
HR59,72,91r,6.13,,1,,,hrazdan restaurant,176.1,D.armeniaca,f,04062023,3834,21,24,6,0.00154440154440154,,-1,3884
HR6,56,,3.2,1,,,,hrazdan restaurant,,D.unisexualis,f,12052023,2031,97,10,3,0.00140121438580103,,-2,2139
HR60,64,110,5.05,,1,,,hrazdan restaurant,92.33,D.armeniaca,f,04062023,,,,,,,,0
HR61,63,105r,4.55,,1,,,hrazdan restaurant,,D.armeniaca,f,04062023,3214,34,16,4,0.00122399020807834,103,1,3372
HR62,64,99,4.72,,1,,,hrazdan restaurant,22.36,D.armeniaca,f,04062023,2306,28,7,4,0.00170575692963753,,-4,2341
HR63,63,60r,4,,1,,,hrazdan restaurant,192.47,D.armeniaca,f,04062023,2215,39,50,22,0.00945829750644884,,-3,2323
HR64,63,98,4.14,,1,,,hrazdan restaurant,147.8,D.armeniaca,f,04062023,1664,20,22,7,0.00408639813193228,,,1713
HR65,61,107,4.07,,1,,,hrazdan restaurant,20.73,D.armeniaca,f,04062023,4730,238,93,28,0.00550206327372765,,-5,5084
HR66,61,77r,3.92,,1,,,hrazdan restaurant,93.55,D.armeniaca,f,04062023,2004,148,33,35,0.0157657657657658,,,2220
HR67,65,110,4.33,,1,,,hrazdan restaurant,95.08,D.armeniaca,f,04062023,2234,77,4,0,0,,,2315
HR68,62,96,4.3,,1,,,hrazdan restaurant,223.5,D.armeniaca,f,04062023,3493,238,8,66,0.0173455978975033,,,3805
HR69,68,122,6,2,1,,,hrazdan restaurant,22.36,D.unisexualis,f,05062023,3342,63,17,2,0.00058411214953271,,-2,3422
HR7,74,,5.98,0,,,,hrazdan restaurant,,D.unisexualis,f,12052023,1090,32,20,8,0.00695652173913044,,,1150
HR70,68,102,5.88,1,1,,,hrazdan restaurant,11,D.unisexualis,f,05062023,4038,207,12,7,0.00164165103189493,,,4264
HR71,64,115,5.62,,1,,,hrazdan restaurant,17.12,D.unisexualis,f,05062023,2233,93,4,30,0.0127118644067797,,8,2368
HR72,67,88r,5.89,,1,,,hrazdan restaurant,7.749,D.unisexualis,f,05062023,1606,115,26,0,0,,2,1749
HR73,67,86r,4.67,,1,,,hrazdan restaurant,1.945,D.unisexualis,f,05062023,3357,300,27,28,0.00754310344827586,,2,3714
HR74,65,116,5.15,,1,,,hrazdan restaurant,8.875,D.unisexualis,f,05062023,2194,164,14,8,0.00336134453781513,,-1,2379
HR75,70,80r,6.09,,1,,,hrazdan restaurant,28.68,D.unisexualis,f,05062023,1304,57,17,13,0.00934579439252336,,4,1395
HR76,71,103r,6.07,,1,,,hrazdan restaurant,29.23,D.unisexualis,f,05062023,2712,74,20,75,0.026032627559875,,1,2882
HR77,67,115,5,,1,,,hrazdan restaurant,93.55,D.unisexualis,f,05062023,1012,47,25,0,0,,,1084
HR78,62,12r,4.54,,1,,,hrazdan restaurant,14.13,D.unisexualis,f,05062023,1944,51,16,21,0.0103346456692913,,2,2034
HR79,68,101r,6.03,,1,,,hrazdan restaurant,12.71,D.unisexualis,f,05062023,2583,150,26,22,0.00791082344480403,10,-2,2789
HR8,65,,4.08,0,,,,hrazdan restaurant,,D.unisexualis,f,12052023,,,,,,,,0
HR80,67,94r,4.8,,1,,,hrazdan restaurant,2.686,D.unisexualis,f,05062023,1491,166,18,29,0.017018779342723,,5,1709
HR81,72,131,6.43,1,1,,,hrazdan restaurant,23.33,D.unisexualis,f,05062023,4566,874,16,168,0.0298719772403983,,10,5634
HR82,58,59r,3.35,,,,,hrazdan restaurant,3.422,D.unisexualis,f,05062023,3996,211,9,46,0.010793054903801,,1,4263
HR83,60,116,4.16,,,,,hrazdan restaurant,5.744,D.unisexualis,f,05062023,3550,297,21,137,0.034207240948814,,18,4023
HR84,71,107,6.38,,1,,,hrazdan restaurant,35.6,D.unisexualis,f,05062023,2160,126,17,34,0.014548566538297,,-1,2336
HR85,59,120,3.57,,1,,,hrazdan restaurant,,D.unisexualis,f,05062023,3835,258,28,26,0.00626959247648903,,-4,4143
HR86,73,114,5.88,,1,,,hrazdan restaurant,8.554,D.unisexualis,f,05062023,4050,750,44,49,0.0100143061516452,16,,4909
HR87,60,124,4,,,,,hrazdan restaurant,7.91,D.unisexualis,f,05062023,1993,195,19,7,0.0031616982836495,,-7,2207
HR88,62,115,5.49,,1,,,hrazdan restaurant,17.49,D.unisexualis,f,05062023,3857,223,3,8,0.00195551209973112,,-2,4089
HR89,58,15r,3.19,,1,,,hrazdan restaurant,,D.unisexualis,f,05062023,1770,191,7,73,0.0357667809897109,,8,2049
HR9,71,,5.8,0,,,,hrazdan restaurant,,D.unisexualis,f,12052023,1946,21,9,12,0.00603621730382294,,1,1989
HR90,63,72r,3.81,,,,,hrazdan restaurant,12.83,D.nairensis,f,06062023,1208,26,7,103,0.0766369047619048,61,17,1422
HR91,62,87r,3.28,,,,,hrazdan restaurant,5.134,D.nairensis,f,06062023,,,,,,,,0
HR92,58,97,3.48,,,,,hrazdan restaurant,4.401,D.nairensis,f,06062023,2333,185,11,16,0.00628683693516699,,-6,2539
HR93,62,115,3.92,,,,,hrazdan restaurant,0.9978,D.nairensis,f,06062023,2867,239,24,6,0.00191326530612245,,-1,3135
HR94,62,116,4.17,,,,,hrazdan restaurant,6.962,D.nairensis,f,06062023,3412,443,25,5,0.00128700128700129,,-3,3882
HR95,66,115,3.9,,,,,hrazdan restaurant,5.331,D.nairensis,f,06062023,3163,94,9,40,0.0120992135511192,,-1,3305
HR96,68,86r,4.4,,,,,hrazdan restaurant,13.84,D.nairensis,f,06062023,2604,240,10,96,0.0325423728813559,,,2950
HR97,63,76r,3.72,,,,,hrazdan restaurant,0.9785,D.nairensis,f,06062023,3616,625,27,53,0.0122656792409165,,-3,4318
HR98,66,12r,3.83,,,,,hrazdan restaurant,5.097,D.nairensis,f,06062023,1901,74,5,2,0.00100908173562059,,,1982
